mjd_utc	longitude_deg	radius_au
60988.957532608	-184.499794112	1.419901246
60988.999199275	-184.563070896	1.420351903
60989.040865942	-184.626307006	1.420804042
60989.082532608	-184.689502350	1.421257661
60989.124199275	-184.752656838	1.421712758
60989.165865942	-184.815770377	1.422169333
60989.207532608	-184.878842877	1.422627384
60989.249199275	-184.941874247	1.423086908
60989.290865942	-185.004864399	1.423547906
60989.332532608	-185.067813243	1.424010374
60989.374199275	-185.130720689	1.424474312
60989.415865942	-185.193586650	1.424939718
60989.457532608	-185.256411038	1.425406591
60989.499199275	-185.319193766	1.425874928
60989.540865942	-185.381934745	1.426344729
60989.582532608	-185.444633891	1.426815993
60989.624199275	-185.507291116	1.427288716
60989.665865942	-185.569906336	1.427762899
60989.707532608	-185.632479465	1.428238539
60989.749199275	-185.695010418	1.428715634
60989.790865942	-185.757499112	1.429194185
60989.832532608	-185.819945462	1.429674187
60989.874199275	-185.882349386	1.430155641
60989.915865942	-185.944710801	1.430638545
60989.957532608	-186.007029624	1.431122897
60989.999199275	-186.069305774	1.431608695
60990.040865942	-186.131539169	1.432095939
60990.082532608	-186.193729728	1.432584626
60990.124199275	-186.255877370	1.433074754
60990.165865941	-186.317982017	1.433566323
60990.207532608	-186.380043588	1.434059331
60990.249199274	-186.442062004	1.434553776
60990.290865941	-186.504037186	1.435049657
60990.332532608	-186.565969057	1.435546971
60990.374199274	-186.627857539	1.436045718
60990.415865941	-186.689702554	1.436545896
60990.457532607	-186.751504026	1.437047503
60990.499199274	-186.813261879	1.437550538
60990.540865941	-186.874976036	1.438054999
60990.582532607	-186.936646422	1.438560885
60990.624199274	-186.998272963	1.439068193
60990.665865941	-187.059855583	1.439576923
60990.707532607	-187.121394209	1.440087073
60990.749199274	-187.182888768	1.440598641
60990.790865941	-187.244339186	1.441111625
60990.832532607	-187.305745390	1.441626025
60990.874199274	-187.367107309	1.442141837
60990.915865941	-187.428424870	1.442659062
60990.957532607	-187.489698003	1.443177697
60990.999199274	-187.550926636	1.443697740
60991.040865941	-187.612110700	1.444219190
60991.082532607	-187.673250125	1.444742046
60991.124199274	-187.734344840	1.445266305
60991.165865941	-187.795394777	1.445791966
60991.207532607	-187.856399868	1.446319028
60991.249199274	-187.917360044	1.446847489
60991.290865941	-187.978275238	1.447377347
60991.332532607	-188.039145383	1.447908600
60991.374199274	-188.099970412	1.448441248
60991.415865941	-188.160750258	1.448975287
60991.457532607	-188.221484856	1.449510718
60991.499199274	-188.282174141	1.450047538
60991.540865941	-188.342818048	1.450585745
60991.582532607	-188.403416512	1.451125338
60991.624199274	-188.463969469	1.451666315
60991.665865941	-188.524476855	1.452208675
60991.707532607	-188.584938608	1.452752416
60991.749199274	-188.645354665	1.453297535
60991.790865941	-188.705724964	1.453844033
