mjd	ra_deg	dec_deg	r_au	delta_au
61012.67960648	178.0142157	1.3428506	1.866014	1.883633
61012.68030093	178.0135542	1.3430947	1.866031	1.883626
61012.68099537	178.0128926	1.3433388	1.866048	1.883619
61012.68168982	178.0122311	1.3435828	1.866066	1.883612
61012.68238426	178.0115695	1.3438269	1.866083	1.883605
61012.68307870	178.0109079	1.3440709	1.866100	1.883598
61012.68377315	178.0102463	1.3443149	1.866117	1.883592
61012.68446759	178.0095846	1.3445589	1.866134	1.883585
61012.68516204	178.0089229	1.3448029	1.866152	1.883578
61012.68585648	178.0082612	1.3450468	1.866169	1.883571
61012.68655093	178.0075995	1.3452907	1.866186	1.883564
61012.68724537	178.0069378	1.3455347	1.866203	1.883557
61012.68793982	178.0062760	1.3457785	1.866221	1.883550
61012.68863426	178.0056142	1.3460224	1.866238	1.883543
61012.68932870	178.0049524	1.3462662	1.866255	1.883536
61012.69002315	178.0042905	1.3465101	1.866272	1.883529
61012.69071759	178.0036287	1.3467539	1.866290	1.883522
61012.69141204	178.0029668	1.3469977	1.866307	1.883515
61012.69210648	178.0023049	1.3472414	1.866324	1.883508
61012.69280093	178.0016429	1.3474852	1.866341	1.883501
61012.69349537	178.0009810	1.3477289	1.866358	1.883494
61012.69418981	178.0003190	1.3479726	1.866376	1.883487
61012.69488426	177.9996570	1.3482163	1.866393	1.883481
61012.69557870	177.9989950	1.3484599	1.866410	1.883474
61012.69627315	177.9983329	1.3487036	1.866427	1.883467
61012.69696759	177.9976708	1.3489472	1.866445	1.883460
61012.69766204	177.9970087	1.3491908	1.866462	1.883453
61012.69835648	177.9963466	1.3494343	1.866479	1.883446
61012.69905093	177.9956845	1.3496779	1.866496	1.883439
61012.69974537	177.9950223	1.3499214	1.866514	1.883432
61012.70043981	177.9943601	1.3501649	1.866531	1.883425
61012.70113426	177.9936979	1.3504084	1.866548	1.883418
61012.70182870	177.9930357	1.3506519	1.866565	1.883411
61012.70252315	177.9923734	1.3508954	1.866582	1.883404
61012.70321759	177.9917111	1.3511388	1.866600	1.883397
61012.70391204	177.9910488	1.3513822	1.866617	1.883391
61012.70460648	177.9903865	1.3516256	1.866634	1.883384
61012.70530093	177.9897242	1.3518690	1.866651	1.883377
61012.70599537	177.9890618	1.3521123	1.866669	1.883370
61012.70668982	177.9883994	1.3523556	1.866686	1.883363
61012.70738426	177.9877370	1.3525989	1.866703	1.883356
61012.70807870	177.9870745	1.3528422	1.866720	1.883349
61012.70877315	177.9864121	1.3530855	1.866738	1.883342
61012.70946759	177.9857496	1.3533287	1.866755	1.883335
61012.71016204	177.9850871	1.3535720	1.866772	1.883328
61012.71085648	177.9844246	1.3538152	1.866789	1.883321
61012.71155093	177.9837620	1.3540583	1.866807	1.883314
61012.71224537	177.9830994	1.3543015	1.866824	1.883308
61012.71293982	177.9824369	1.3545447	1.866841	1.883301
61012.71363426	177.9817742	1.3547878	1.866858	1.883294
61012.71432870	177.9811116	1.3550309	1.866875	1.883287
61012.71502315	177.9804489	1.3552739	1.866893	1.883280
61012.71571759	177.9797863	1.3555170	1.866910	1.883273
61012.71641204	177.9791235	1.3557600	1.866927	1.883266
61012.71710648	177.9784608	1.3560031	1.866944	1.883259
61012.71780093	177.9777981	1.3562461	1.866962	1.883252
61012.71849537	177.9771353	1.3564890	1.866979	1.883245
61012.71918982	177.9764725	1.3567320	1.866996	1.883238
61012.71988426	177.9758097	1.3569749	1.867013	1.883231
61012.72057870	177.9751469	1.3572178	1.867031	1.883225
61012.72127315	177.9744840	1.3574607	1.867048	1.883218
61012.72196759	177.9738211	1.3577036	1.867065	1.883211
61012.72266204	177.9731582	1.3579464	1.867082	1.883204
61012.72335648	177.9724953	1.3581893	1.867100	1.883197
61012.72405093	177.9718323	1.3584321	1.867117	1.883190
61012.72474537	177.9711694	1.3586749	1.867134	1.883183
61012.72543981	177.9705064	1.3589176	1.867151	1.883176
61012.72613426	177.9698434	1.3591604	1.867169	1.883169
61012.72682870	177.9691803	1.3594031	1.867186	1.883162
61012.72752315	177.9685173	1.3596458	1.867203	1.883156
61012.72821759	177.9678542	1.3598885	1.867220	1.883149
61012.72891204	177.9671911	1.3601311	1.867237	1.883142
61012.72960648	177.9665280	1.3603738	1.867255	1.883135
61012.73030093	177.9658648	1.3606164	1.867272	1.883128
61012.73099537	177.9652017	1.3608590	1.867289	1.883121
61012.73168981	177.9645385	1.3611016	1.867306	1.883114
61012.73238426	177.9638753	1.3613441	1.867324	1.883107
61012.73307870	177.9632121	1.3615867	1.867341	1.883100
61012.73377315	177.9625488	1.3618292	1.867358	1.883094
61012.73446759	177.9618855	1.3620717	1.867375	1.883087
61012.73516204	177.9612222	1.3623141	1.867393	1.883080
61012.73585648	177.9605589	1.3625566	1.867410	1.883073
61012.73655093	177.9598956	1.3627990	1.867427	1.883066
61012.73724537	177.9592322	1.3630414	1.867444	1.883059
61012.73793982	177.9585689	1.3632838	1.867462	1.883052
61012.73863426	177.9579055	1.3635262	1.867479	1.883045
61012.73932870	177.9572420	1.3637685	1.867496	1.883038
61012.74002315	177.9565786	1.3640108	1.867513	1.883032
61012.74071759	177.9559151	1.3642531	1.867531	1.883025
61012.74141204	177.9552517	1.3644954	1.867548	1.883018
61012.74210648	177.9545881	1.3647377	1.867565	1.883011
61012.74280093	177.9539246	1.3649799	1.867582	1.883004
