distance_arcmin	distance_km	surface_brightness	error	coverage	smooth	reflected_smooth
5.875	481282.9375	0.0013783945308023632	0.00025437373141430554	0.8771929824561403	0.0017204843242996312	0.0012438434861356488
6.125	501763.0625	0.0016977499007241428	0.00029482220606939633	0.8545454545454545	0.0014906458544206318	0.0015078068726417416
6.375	522243.1875	0.0015699987352138002	0.00029165711588985074	0.8245614035087719	0.001562451352094671	0.001387967627474177
6.625	542723.3125	0.001228905589151279	0.00027705148240234176	0.8214285714285714	0.00139882539018372	0.0012513110210256272
6.875	563203.4375	0.0014582505236122964	0.0003144871718240066	0.7678571428571429	0.0015092725699201155	0.0012600114064280359
7.125	583683.5625	0.001374830468834406	0.0003121075312934406	0.7719298245614035	0.0014822082919352297	0.0012938572150658133
7.375	604163.6875	0.0018422277019504937	0.00037300221824228366	0.7454545454545455	0.001387886689946233	0.0011418126840860277
7.625	624643.8125	0.0010475216334709517	0.00029242811475263194	0.7368421052631579	0.0013917846211506516	0.001052592324405904
7.875	645123.9375	0.0012345689164010192	0.00032447008534513665	0.7321428571428571	0.0014682089281165681	0.0010757301508214974
8.125	665604.0625	0.0014039242295548562	0.00033495346047148736	0.7368421052631579	0.0014307266691870775	0.0011180972032350954
8.375	686084.1875	0.0017156489218493646	0.0003717202348332735	0.7142857142857143	0.0013369328481886128	0.0010001146725821504
8.625	706564.3125	0.0010185034002954119	0.0003086059061752433	0.6964285714285714	0.0012530433067997429	0.0010256646608153995
8.875	727044.4375	0.0011454874375459447	0.00032229093529534533	0.6964285714285714	0.0012848373708571482	0.0011961167421214794
9.125	747524.5625	0.0018443127332097705	0.0004116461253468953	0.6607142857142857	0.0013783471336091633	0.0011627359309387358
9.375	768004.6875	0.0005311327625686516	0.0002689076823114146	0.6785714285714286	0.0012504894636817384	0.00095958053762524
9.625	788484.8125	0.001351016697535678	0.0004058057182813692	0.625	0.0011706687648509763	0.0008785063479759496
9.875	808964.9375	0.0012000901786884837	0.00039952610195894805	0.6206896551724138	0.0011887518361528035	0.0009532871079353159
10.125	829445.0625	0.0014606975818277806	0.0004653838229783563	0.6	0.00119223786969911	0.001036870830665466
10.375	849925.1875	0.000501277021918896	0.00033153307606843287	0.5964912280701754	0.0012393841667243102	0.001063711960496745
10.625	870405.3125	0.0019118631127449642	0.0005658531104340309	0.5818181818181818	0.0012996885442560103	0.0008936757871958834
10.875	890885.4375	0.001016617992123742	0.000451323021574987	0.5964912280701754	0.0012127509529742766	0.000918775064014626
11.125	911365.5625	0.0017153562882826039	0.0005807196216672939	0.5535714285714286	0.0011408026234327128	0.0011073970703386158
11.375	931845.6875	0.00115392247185636	0.0004886238202692739	0.6071428571428571	0.001017690720361888	0.0011437316617312644
11.625	952325.8125	0.00027615614300428377	0.0003419405421670717	0.6140350877192983	0.0010006196278535687	0.000986066989700105
11.875	972805.9375	0.0009562786181062596	0.0005345173351609811	0.6071428571428571	0.0009861312605741932	0.0009373057764198736
