mjd_utc	stereo_a	solar_orbiter	ace	wind	ace_scaled
61011.138888889	65673067	57022134	64817158	82967445	1.1018917e+08
61011.145833333	65602367	57218164	64487290	82113067	1.0962839e+08
61011.152777778	65509327	57432562	64786028	81324522	1.1013625e+08
61011.159722222	65393947	57665329	65942138	81464971	1.1210164e+08
61011.166666667	65256228	57916464	67175400	82308956	1.1419818e+08
61011.173611111	65096168	58185967	68195114	83152957	1.1593169e+08
61011.180555556	64913769	58473839	69001280	83996980	1.1730218e+08
61011.187500000	64709030	58780080	69593898	84841025	1.1830963e+08
61011.194444444	64481952	59104689	69972968	85685092	1.1895405e+08
61011.201388889	64232533	59447666	70138490	86529182	1.1923543e+08
61011.208333333	63960775	59809012	70090464	87373294	1.1915379e+08
61011.215277778	63666677	60196308	69889112	88217428	1.1881149e+08
61011.222222222	63355461	60610233	69641207	89061585	1.1839005e+08
61011.229166667	63038297	61043611	69390740	89905764	1.1796426e+08
61011.236111111	62721134	61496171	69131806	90743647	1.1752407e+08
61011.243055556	62403970	61967913	68861062	91428015	1.170638e+08
61011.250000000	62086806	62458838	68578507	91904207	1.1658346e+08
61011.256944444	61769642	62968946	68284142	92258456	1.1608304e+08
61011.263888889	61452478	63498236	67977968	92490756	1.1556254e+08
61011.270833333	61135315	64046708	67659982	92601106	1.1502197e+08
61011.277777778	60816980	64614363	67330187	92589508	1.1446132e+08
61011.284722222	60495911	65224282	66982371	92455960	1.1387003e+08
61011.291666667	60171711	65920512	66608688	92200462	1.1323477e+08
61011.298611111	59844381	66716437	66207503	91823015	1.1255276e+08
61011.305555556	59513921	67589056	65778817	91323619	1.1182399e+08
61011.312500000	59180330	68500286	65325191	90702274	1.1105283e+08
61011.319444444	58843609	69427456	64852532	89965297	1.102493e+08
61011.326388889	58503759	70370568	64364181	89259908	1.0941911e+08
61011.333333333	58160778	71329622	63860138	88640764	1.0856223e+08
61011.340277778	57814666	72304616	63340404	88021621	1.0767869e+08
61011.347222222	57465425	73295552	62804979	87405579	1.0676846e+08
61011.354166667	57221632	74302430	62293772	86798723	1.0589941e+08
61011.361111111	57194545	75325249	61872954	86204035	1.0518402e+08
61011.368055556	57387238	76340927	61574997	85621515	1.046775e+08
61011.375000000	57800106	77305419	61407747	85051164	1.0439317e+08
61011.381944444	58433148	1.4429973e+08	61372838	84492980	1.0433383e+08
61011.388888889	59206595	1.4279019e+08	61470271	83946964	1.0449946e+08
61011.395833333	59987829	1.4193004e+08	61700046	83413117	1.0489008e+08
61011.402777778	60723999	1.4171929e+08	62062162	82891437	1.0550567e+08
